state,action,q_value
"0,0|0:4,4:4",0,-1.9582795151376224
"0,0|0:4,4:4",1,-0.18213552553268397
"0,0|0:4,4:4",2,-1.87553778441917
"0,0|0:4,4:4",3,-1.6193797712899873
"1,0|0:4,4:4",0,-0.16162483685830625
"1,0|0:4,4:4",1,-0.15086782493365122
"1,0|0:4,4:4",2,-1.6917262178861536
"1,0|0:4,4:4",3,-1.7732541915510616
"2,0|0:4,4:4",0,-0.14190435830886156
"2,0|0:4,4:4",1,-0.15661328793120122
"2,0|0:4,4:4",2,-1.3412375852960234
"2,0|0:4,4:4",3,-0.14006471051285943
"2,1|0:4,4:4",0,-1.4166789503879045
"2,1|0:4,4:4",1,-1.3397060972055415
"2,1|0:4,4:4",2,-0.13263572763738116
"2,1|0:4,4:4",3,-0.1406026331954134
"2,2|0:4,4:4",0,-0.15982326437084793
"2,2|0:4,4:4",1,-1.2547875822828227
"2,2|0:4,4:4",2,-0.1252560412774011
"2,2|0:4,4:4",3,-1.4149614694034311
"1,2|0:4,4:4",0,0.006249157759999992
"1,2|0:4,4:4",1,-0.11149038994431973
"1,2|0:4,4:4",2,-1.612619593547317
"1,2|0:4,4:4",3,-1.2461217007371002
"0,2|0:4,4:4",0,-0.54295
"0,2|0:4,4:4",1,-0.05968001925500001
"0,2|0:4,4:4",2,-0.38
"0,2|0:4,4:4",3,0.9474465750000001
"0,3|0:4,4:4",0,-0.020805000000000032
"0,3|0:4,4:4",1,-0.32860500000000004
"0,3|0:4,4:4",2,-0.010950000000000001
"0,3|0:4,4:4",3,6.83794895
"0,4|4:4",0,-0.6912295000000002
"0,4|4:4",1,-0.19
"0,4|4:4",2,-0.04866090000000001
"0,4|4:4",3,-0.9472875505000002
"0,3|4:4",0,-0.54295
"0,3|4:4",1,-0.2
"0,3|4:4",2,-0.019000000000000003
"0,3|4:4",3,-0.04214969500000001
"1,4|4:4",0,-0.011805000000000003
"1,4|4:4",1,0.0
"1,4|4:4",2,0.0
"1,4|4:4",3,0.0
"3,0|0:4,4:4",0,-0.13624849319678461
"3,0|0:4,4:4",1,-0.11911802843845605
"3,0|0:4,4:4",2,-1.4802431601277495
"3,0|0:4,4:4",3,-1.5456635563735324
"4,0|0:4,4:4",0,-0.1041787098557473
"4,0|0:4,4:4",1,-1.1653847073723824
"4,0|0:4,4:4",2,-1.2483833575755077
"4,0|0:4,4:4",3,-0.2040572011
"4,1|0:4,4:4",0,-0.2
"4,1|0:4,4:4",1,-0.38
"4,1|0:4,4:4",2,-0.04781265698208659
"4,1|0:4,4:4",3,-0.037819500000000006
"4,2|0:4,4:4",0,-0.2
"4,2|0:4,4:4",1,-0.2
"4,2|0:4,4:4",2,-0.2
"4,2|0:4,4:4",3,0.15465999999999996
"4,3|0:4,4:4",0,0.0
"4,3|0:4,4:4",1,-0.6878000000000001
"4,3|0:4,4:4",2,-0.19266000000000003
"4,3|0:4,4:4",3,3.78005
"4,4|0:4",0,-0.028050000000000005
"4,4|0:4",1,-0.6941536000000001
"4,4|0:4",2,-0.03534000000000001
"4,4|0:4",3,-0.38
"4,3|0:4",0,-0.38095
"4,3|0:4",1,-0.54466
"4,3|0:4",2,-0.027100000000000006
"4,3|0:4",3,-0.028905000000000007
"3,4|0:4",0,-0.010000000000000002
"3,4|0:4",1,-0.023199000000000004
"3,4|0:4",2,-0.38095
"3,4|0:4",3,-0.38
"2,4|0:4",0,0.0
"2,4|0:4",1,0.0
"2,4|0:4",2,0.0
"2,4|0:4",3,-0.38
"0,2|4:4",0,-0.2
"0,2|4:4",1,-0.019000000000000003
"0,2|4:4",2,0.0
"0,2|4:4",3,0.0
"1,2|4:4",0,0.0
"1,2|4:4",1,-0.010000000000000002
"1,2|4:4",2,0.0
"1,2|4:4",3,-0.2
"4,2|0:4",0,-0.2
"4,2|0:4",1,0.0
"4,2|0:4",2,-0.010000000000000002
"4,2|0:4",3,-0.021660000000000006
"4,1|0:4",0,-0.2
"4,1|0:4",1,0.0
"4,1|0:4",2,-0.019000000000000003
"4,1|0:4",3,0.0
"4,0|0:4",0,-0.010000000000000002
"4,0|0:4",1,-0.2
"4,0|0:4",2,0.0
"4,0|0:4",3,-0.010000000000000002
"3,0|0:4",0,-0.010000000000000002
"3,0|0:4",1,0.0
"3,0|0:4",2,-0.2
"3,0|0:4",3,0.0
"2,0|0:4",0,-0.010000000000000002
"2,0|0:4",1,0.0
"2,0|0:4",2,0.0
"2,0|0:4",3,-0.2
"1,0|0:4",0,-0.019000000000000003
"1,0|0:4",1,-0.010000000000000002
"1,0|0:4",2,-0.2
"1,0|0:4",3,-0.6878000000000001
"0,0|0:4",0,-0.38
"0,0|0:4",1,-0.019000000000000003
"0,0|0:4",2,-0.2
"0,0|0:4",3,-0.542
"2,1|0:4",0,0.0
"2,1|0:4",1,0.0
"2,1|0:4",2,0.0
"2,1|0:4",3,0.0
"2,2|4:4",0,0.0
"2,2|4:4",1,0.0
"2,2|4:4",2,-0.010000000000000002
"2,2|4:4",3,-0.2
"2,1|4:4",0,-0.2
"2,1|4:4",1,-0.2
"2,1|4:4",2,-0.010000000000000002
"2,1|4:4",3,-0.010000000000000002
"2,0|4:4",0,0.0
"2,0|4:4",1,0.0
"2,0|4:4",2,0.0
"2,0|4:4",3,-0.010000000000000002
